fixation_id,fixation_run_id,fixation_start_event_time,fixation_order_number,x,y,fixation_target,source_file_line,source_file_col,token,syntactic_category,xpath,left_pupil_diameter,right_pupil_diameter,duration
294d2cda-c7b4-4699-b9de-3a620be99f9b,1685984392579,133294174668697305,1,618.375,557.5,Bug-16.txt,66,43,,,,3.1934,2.79064,208
cba1a37e-ed64-40b9-a1b2-40dca0d89018,1685984392579,133294174663947348,2,569.5,566.526,Bug-16.txt,66,34,,,,3.20805,2.84848,425
762d02bc-f916-4bb2-9bdc-704b10b9e28a,1685984392579,133294174652026462,3,566.085,624.407,Bug-16.txt,70,34,,,,3.17343,2.90875,742
f8ace707-2f26-4954-9eae-b32d695d576e,1685984392579,133294174636280325,4,554.81,544.095,Bug-16.txt,63,34,,,,3.32312,3.07027,483
0a114c1f-fd5b-4fee-9962-1225398bc1bb,1685984392579,133294174610948433,5,564.725,518.625,Bug-16.txt,63,34,,,,3.29936,2.91963,984
1882c7ee-bb95-4985-b50c-ce0e0f77f328,1685984392579,133294174605275854,6,496.286,436.304,Bug-16.txt,58,24,,,,2.9974,2.70121,496
5a2c9169-b9dc-4e58-b88f-c8aa11520812,1685984392579,133294174586196899,7,579.455,515.091,Bug-16.txt,63,36,,,,3.16407,2.83082,209
e90ee306-3965-40df-8728-022641078784,1685984392579,133294174533364261,8,496.709,697.69,Bug-16.txt,75,18,,,,2.89942,2.68724,3717
f8996c82-6f78-4e96-8402-45157e9de8eb,1685984392579,133294174524031738,9,633.582,184.567,Bug-16.txt,41,44,,,,2.96212,2.66779,692
eb495440-f903-4672-b8fe-356f9fc903f7,1685984392579,133294174485533314,10,476.092,686.377,Bug-16.txt,73,22,,,,2.76925,2.58483,2658
2d98f37d-1120-464d-a40c-787ddab2e8e8,1685984392579,133294174483029636,11,731.167,623.833,Bug-16.txt,70,58,,,,2.93008,2.41446,192
f1e64e50-38b7-4c1a-a02f-21a19523b9d6,1685984392579,133294174477613269,12,559.3,655.2,Bug-16.txt,73,34,,,,2.9844,2.63043,234
adb44805-7f85-43a9-a1bc-b26edf1b1262,1685984392579,133294174474613184,13,478.294,639.765,Bug-16.txt,71,22,,,,2.90206,2.64022,250
fe3df7d0-63fd-49c6-bc12-11d96680d439,1685984392579,133294174457948330,14,520.066,634.783,Bug-16.txt,71,24,,,,2.90559,2.6128,1642
475a231e-22fe-4312-b961-34a84467db94,1685984392579,133294174453115215,15,484.732,674.61,Bug-16.txt,67,23,,,,2.88899,2.74339,448
bf49221b-3766-4ece-a8d5-40a020dbc277,1685984392579,133294174440026366,16,418.747,234.506,Bug-16.txt,29,11,,,,2.94798,2.72332,1259
052ef13b-d6e3-4651-a148-96c97bc0a327,1685984392579,133294174428950009,17,517.435,167.522,PiePlot3DTest.java,77,25,,,,2.97982,2.75096,200
979fa681-5fd5-4c9b-8427-27618faaf9d7,1685984392579,133294174420864389,18,485,282.3,PiePlot.java,2319,20,,,,2.99476,2.77431,333
8990f240-2121-4d13-a81e-008f3f0ae7fc,1685984392579,133294174418783979,19,623.6,173.4,PiePlot.java,2311,40,,,,2.99653,2.72452,189
