fixation_id,fixation_run_id,fixation_start_event_time,fixation_order_number,x,y,fixation_target,source_file_line,source_file_col,token,syntactic_category,xpath,left_pupil_diameter,right_pupil_diameter,duration
76daef7c-8b79-4374-bc36-6aa045060033,1685639674640,133283795233523501,1,597.953,746.023,Bug-18.txt,103,41,,,,3.00711,3.00798,473
91812a25-e234-4b75-9e2b-a3d5700da8b2,1685639674640,133283795216439896,2,685.813,459.188,Bug-18.txt,84,48,,,,3.17041,3.13013,1300
68ddbb60-82ac-4d57-8605-b7a2fa5ef181,1685639674640,133283795211193817,3,620.556,382.63,Bug-18.txt,80,41,,,,3.20984,3.15446,316
3fee0725-054e-49cc-9a0f-a403a7be2fa8,1685639674640,133283795206023756,4,637.963,431.148,Bug-18.txt,82,44,,,,3.2593,3.21227,250
89bb8c91-7279-41ce-88d5-6989faa983f0,1685639674640,133283795204357610,5,522.947,548.579,Bug-18.txt,90,27,,,,3.24315,3.21149,150
afb1e6da-447c-4d37-8cae-39e857d335ab,1685639674640,133283795196024221,6,651.429,365.214,Bug-18.txt,78,46,,,,3.15814,3.09631,266
afa444bb-769e-4163-bd99-25066d105511,1685639674640,133283795186343313,7,672.329,466.548,Bug-18.txt,84,48,,,,3.32888,3.26135,833
c5925b31-990a-4e38-a5f9-242f3167f8ba,1685639674640,133283795173359063,8,637.855,434.566,Bug-18.txt,84,46,,,,3.4053,3.28151,1117
be6e0d30-dcc0-4ded-840f-9037a694cb1e,1685639674640,133283795162689263,9,642.207,370.379,Bug-18.txt,78,44,,,,3.40995,3.2818,758
337e5edc-48e6-440a-96cd-e855669f370a,1685639674640,133283795143603026,10,607.417,437.875,Bug-18.txt,82,39,,,,3.09112,3.0618,193
09eb6f9b-dc79-40e2-aeaa-54f3d3f07711,1685639674640,133283795120258997,11,601.883,555.394,Bug-18.txt,75,41,,,,2.7296,2.7032,1176
e451dc7f-35d1-4e09-a2b3-e1541c073092,1685639674640,133283795117024197,12,837.875,433,Bug-18.txt,37,73,,,,2.54784,2.58173,233
a0bae1dc-1054-47fe-b067-4c1b9876b3d7,1685639674640,133283795113438579,13,933.2,428.2,Bug-18.txt,37,83,,,,2.87369,2.7749,225
