fixation_id,fixation_run_id,fixation_start_event_time,fixation_order_number,x,y,fixation_target,source_file_line,source_file_col,token,syntactic_category,xpath,left_pupil_diameter,right_pupil_diameter,duration
485d2496-2700-4086-8e32-2642c97ecf97,1684268637639,133269255862415033,1,1283.62,532.5,DefaultBoxAndWhiskerCategoryDatasetTest.java,257,18,,,,4.01678,3.90143,215
b36f031a-7b23-4e5d-8116-c40aa5b841af,1684268637639,133269255857402004,2,1198.23,589.657,DefaultBoxAndWhiskerCategoryDatasetTest.java,261,6,,,,4.17654,3.98707,470
95bfcb77-8ab5-4c75-9b83-2cc6f33a0317,1684268637639,133269255853591813,3,516.8,560.4,Bug-19.txt,117,23,,,,4.02728,3.97388,133
d74cd57e-6f98-41bf-b8dc-20ba3e5c7242,1684268637639,133269255851509016,4,624.769,539.692,Bug-19.txt,116,42,,,,4.25446,4.26611,125
4e1b4b73-125c-46ec-b85b-9ddb7ab2a8d0,1684268637639,133269255841926841,5,1389.33,545.778,DefaultBoxAndWhiskerCategoryDatasetTest.java,258,31,,,,4.03856,3.91955,423
425d8e3d-afdf-46c1-8a17-58a3b6366b75,1684268637639,133269255838426661,6,1500.62,540.231,DefaultBoxAndWhiskerCategoryDatasetTest.java,257,50,,,,4.09227,3.82104,299
71f5132f-e876-4ad6-856e-17525c575254,1684268637639,133269255789251669,7,1240.69,399.438,DefaultBoxAndWhiskerCategoryDatasetTest.java,248,12,,,,3.86234,3.72378,568
c661039c-7a88-4607-bb6e-9bfbf429f86c,1684268637639,133269255774009492,8,630.133,118.033,Bug-19.txt,88,42,,,,4.13962,4.05048,649
66d3ff6c-ae9b-42ac-9e75-474c35279be7,1684268637639,133269255771577687,9,360.773,115.909,Bug-19.txt,88,4,,,,4.19066,3.97727,218
e8e30978-70a2-463f-b201-b9e8686caf0e,1684268637639,133269255733906449,10,356.69,636.476,Bug-19.txt,122,2,,,,4.02424,3.88473,416
186ff990-2a7e-4f6b-8865-3b3b8873d357,1684268637639,133269255728407503,11,377.308,594.519,Bug-19.txt,92,6,,,,3.88496,3.74196,527
3e981566-e1d7-4247-9d7d-6453b3729e7e,1684268637639,133269255715089634,12,1300.3,440.3,DefaultBoxAndWhiskerCategoryDataset.java,156,21,,,,3.8917,3.71448,151
037f930f-8cf8-4c52-a086-77f03fa3e110,1684268637639,133269255702093257,13,417.185,407.37,Bug-19.txt,62,11,,,,3.6562,3.54214,382
c031bd8f-14ff-4dd3-8507-3f4e91166780,1684268637639,133269255696092263,14,1235.91,390,DefaultBoxAndWhiskerCategoryDataset.java,152,10,,,,3.58536,3.43155,283
1e2e61b2-36bf-433c-93a4-a61c000fa121,1684268637639,133269255691678766,15,1444.78,398.7,DefaultBoxAndWhiskerCategoryDataset.java,153,42,,,,3.52204,3.36231,424
282982cd-ffbf-4b01-9b82-8e97019d6038,1684268637639,133269255686343265,16,1350.89,400.109,DefaultBoxAndWhiskerCategoryDataset.java,153,25,,,,3.58862,3.42385,473
ce53fa9e-5986-4999-93c6-e5069b85b2fc,1684268637639,133269255682177044,17,582.385,408.077,Bug-19.txt,62,32,,,,3.73287,3.58291,1733
336b2afc-e501-484d-a739-5c73675addda,1684268637639,133269255675508754,18,414.122,403.918,Bug-19.txt,62,6,,,,3.31328,3.22484,417
29dce270-1053-40cc-bb75-ef5f3c02e126,1684268637639,133269255672262492,19,360.103,406.552,Bug-19.txt,62,3,,,,3.33064,3.25512,258
18471cd4-3430-4915-9904-660acf75a75f,1684268637639,133269255669677421,20,421.37,393.741,Bug-19.txt,61,13,,,,3.39246,3.29673,234
393ecca7-5889-4549-93d7-ed21079a1825,1684268637639,133269255661677381,21,436.563,237.5,Bug-19.txt,52,12,,,,3.25039,3.19444,633
478fa52e-c1db-4cad-a4bd-243eb2aab23e,1684268637639,133269255655093705,22,551.211,296.873,Bug-19.txt,103,26,,,,3.45953,3.40019,641
aa851ba3-812c-46ef-ac68-bd361d07d6fe,1684268637639,133269255653675309,23,1253.82,361.455,DefaultBoxAndWhiskerCategoryDataset.java,150,15,,,,3.57163,3.48693,3242
8fd20f50-dbc2-4fb4-904e-8ac96672be4e,1684268637639,133269255648842809,24,1362.68,368.459,DefaultBoxAndWhiskerCategoryDataset.java,151,30,,,,3.51088,3.39765,317
5d149138-d86d-466b-a26d-f0f84f6511be,1684268637639,133269255643844528,25,1277.64,381.304,DefaultBoxAndWhiskerCategoryDataset.java,152,13,,,,3.50767,3.37535,484
d472ea84-4268-47ac-a8b9-32b4e236b70e,1684268637639,133269255640175963,26,1269.76,301.541,DefaultBoxAndWhiskerCategoryDataset.java,146,16,,,,3.49832,3.28963,350
ae4fb566-92f1-4e11-8143-ced651c622ba,1684268637639,133269255638159834,27,1308.05,429.81,DefaultBoxAndWhiskerCategoryDataset.java,158,22,,,,3.53862,3.3288,175
342ad60b-ff7e-4a70-8a5d-458cac567e5c,1684268637639,133269255631580656,28,1292.63,314.095,DefaultBoxAndWhiskerCategoryDataset.java,150,20,,,,3.50696,3.32703,631
b9d89249-26c9-4dd3-8c16-4d9b64ea7d5a,1684268637639,133269255626926980,29,1241.24,395.24,DefaultBoxAndWhiskerCategoryDataset.java,171,13,,,,3.58145,3.42157,400
1647c78b-f5fd-4bf2-b135-fc63ac9931cf,1684268637639,133269255621762519,30,1294.73,218.864,DefaultBoxAndWhiskerCategoryDataset.java,177,20,,,,3.31958,3.26521,425
bc490ac2-334c-44ba-8592-343d24771e00,1684268637639,133269255608510036,31,1304,461.778,DefaultBoxAndWhiskerCategoryDataset.java,198,19,,,,3.33874,3.22983,1292
009b30ba-461c-4a4b-8343-d9a6d5b6687d,1684268637639,133269255605761508,32,1277.84,706.24,DefaultBoxAndWhiskerCategoryDataset.java,209,18,,,,3.7554,3.60799,258
dc144e4b-9c25-4857-a4ab-83f4b694d9a2,1684268637639,133269255602659170,33,1232.75,115.167,DefaultBoxAndWhiskerCategoryDataset.java,155,11,,,,3.64618,3.5323,218
f837c113-ab30-4184-a927-1a8694d5f663,1684268637639,133269255589844114,34,1287.27,168.946,DefaultBoxAndWhiskerCategoryDataset.java,144,15,,,,3.28937,3.21566,576
543c110b-5f54-4ca9-86d6-788836818bf1,1684268637639,133269255578428069,35,1303.75,553.868,DefaultBoxAndWhiskerCategoryDataset.java,169,25,,,,3.44121,3.32453,1084
99a3cb5b-0376-4376-b301-b750ecdb477a,1684268637639,133269255567164314,36,1253.08,295.182,DefaultBoxAndWhiskerCategoryDataset.java,79,14,,,,3.32609,3.18188,809
c86e71cf-4d60-4b7a-b838-b2de665af45e,1684268637639,133269255554679850,37,1275.48,601.692,DefaultBoxAndWhiskerCategoryDataset.java,127,21,,,,3.38681,3.28024,1200
5f3bd3e0-9178-4785-aff1-d5c823d783bf,1684268637639,133269255549755893,38,1323.08,224.417,DefaultBoxAndWhiskerCategoryDataset.java,102,26,,,,3.30903,3.27406,342
