fixation_id,fixation_run_id,fixation_start_event_time,fixation_order_number,x,y,fixation_target,source_file_line,source_file_col,token,syntactic_category,xpath,left_pupil_diameter,right_pupil_diameter,duration
8859a64f-744a-4afd-8a6f-aade41d2652d,1685647738570,133289938182563135,1,473.75,212.125,TimeSeries.java,1151,18,,,,3.04328,3.05128,150
78ec699b-8a53-4688-b04a-78245eb8694a,1685647738570,133289938174632275,2,569.214,210.696,TimeSeries.java,1152,30,,,,2.88186,2.87123,765
4a54b56c-100b-48e1-b56f-da075cbcd201,1685647738570,133289938156482042,3,586.514,203.716,TimeSeries.java,1151,34,,,,2.96518,2.9996,1792
ffef7a73-7ff3-4b56-a301-94cfa95eccdc,1685647738570,133289938154131108,4,687.765,239.824,TimeSeries.java,1153,49,,,,2.93209,3.04096,176
2b90bf4e-0640-419d-b7e0-dee8ad7d4778,1685647738570,133289938144651261,5,592.278,201.389,TimeSeries.java,1151,36,,,,3.24709,3.33176,358
aafd2f3b-9ab2-4ce5-a70d-5a7415b5d48f,1685647738570,133289938139545482,6,410.826,257.435,TimeSeries.java,1154,9,,,,3.29778,3.3813,243
21991230-ea98-467d-87dc-c8f1d45e1d1b,1685647738570,133289938137817614,7,515.769,174.692,TimeSeries.java,1149,24,,,,3.34053,3.41203,142
9ff397a9-4636-4ba7-94ed-d059471afcb7,1685647738570,133289938112736482,8,536.4,185.6,TimeSeries.java,1149,28,,,,3.36237,3.32796,375
98a44e44-5827-4b66-888e-8206bccf941e,1685647738570,133289938110735357,9,618.5,206,TimeSeries.java,1151,39,,,,3.46559,3.41992,175
63583c03-a3cf-408b-8c33-3dc09412498d,1685647738570,133289938108233087,10,627.5,211,TimeSeries.java,1151,40,,,,3.49048,3.49451,94
bd091930-a9d1-48c9-86e0-456186806c2b,1685647738570,133289938075723626,11,483.299,226.966,TimeSeries.java,1151,26,,,,2.94834,3.04915,858
a7fc2a80-f5bb-48bb-ba20-a62a8b554360,1685647738570,133289938070567323,12,582.02,254.061,TimeSeries.java,1154,32,,,,2.87992,2.95964,491
df4dc5c9-43c4-4413-ab25-2af9e40c6ead,1685647738570,133289938068150780,13,446.273,321.045,TimeSeries.java,1156,14,,,,2.87009,2.973,217
6f293d89-2ccb-43b1-8413-cdcacb16199f,1685647738570,133289938065400095,14,546,345.75,TimeSeries.java,1154,29,,,,2.83182,2.91964,258
282159d1-fc64-462f-b17e-70c1fe966c96,1685647738570,133289938062816990,15,474.583,345.917,TimeSeries.java,1148,18,,,,2.74335,2.83584,233
d30e73b7-b473-4c7d-bce3-7d172ef9fa13,1685647738570,133289938028567382,16,631.218,325.359,TimeSeries.java,1147,40,,,,2.86925,2.97759,1708
c5135f48-5527-4334-8aa5-42e37d671306,1685647738570,133289938022386197,17,628.833,325.042,TimeSeries.java,1147,44,,,,2.79888,2.89578,592
13e898d4-c1bc-4ddd-a32c-f13294275972,1685647738570,133289938017066524,18,683.636,329.182,TimeSeries.java,1147,48,,,,2.86743,2.96672,216
407a98fd-4e54-4680-9baf-360bba649b3e,1685647738570,133289938002315132,19,612.364,312.182,TimeSeries.java,1145,39,,,,2.94966,3.08695,1157
35bb0109-8552-41d0-a07c-3fea96bd40c3,1685647738570,133289937960468032,20,663.978,298.374,TimeSeries.java,1145,39,,,,2.80542,2.90955,1669
d44f88db-d517-4d2d-a284-b485756c8136,1685647738570,133289937953067259,21,512.431,223.275,TimeSeries.java,1140,20,,,,2.87348,2.95689,507
e9a782ca-2f64-4dea-b196-9767d04e6625,1685647738570,133289937939234569,22,451.368,237.167,TimeSeries.java,1141,14,,,,2.88266,2.9687,1367
3f8b161c-9ade-4ea8-b9f8-a1dadb4984f5,1685647738570,133289937931146007,23,404.658,265.237,TimeSeries.java,1143,7,,,,2.94281,3.05316,551
44117634-a903-4be9-869a-b7c5051f7366,1685647738570,133289937929400955,24,500.125,275.375,TimeSeries.java,1144,22,,,,2.93032,3.03452,141
a8697e97-b6f4-4208-9baa-9061e88d3ea8,1685647738570,133289937912065123,25,499.235,237.963,TimeSeries.java,1141,20,,,,2.94364,3.05942,1043
0bd5073b-0271-4dba-839a-55e26d23497f,1685647738570,133289937901148800,26,502.586,242.034,TimeSeries.java,1141,21,,,,2.9065,2.99163,876
c673c740-b2c0-490b-ba66-90b09be08c89,1685647738570,133289937873485332,27,456.899,251.91,TimeSeries.java,1142,15,,,,2.96178,3.06263,2750
04c4cef7-1968-4791-b2f9-e552d979a96f,1685647738570,133289937866899335,28,432.229,240.333,TimeSeries.java,1141,11,,,,2.94894,3.03999,496
77b92582-baf4-48e1-b89d-d903c5e7d4d0,1685647738570,133289937848734441,29,427.533,238.367,TimeSeries.java,1141,13,,,,3.00731,3.13572,1800
54f7593a-1b88-45ff-884a-90ccf23a14cc,1685647738570,133289937833399854,30,503.138,239.44,TimeSeries.java,1140,29,,,,3.0494,3.18608,1517
