fixation_rate_AOI_A1,fixation_rate_AOI_A2,fixation_rate_AOI_A3,fixation_rate_AOI_A4,fixation_rate_AOI_A5,fixation_rate_AOI_A6,avg_fixation_time_AOI_A1,avg_fixation_time_AOI_A2,avg_fixation_time_AOI_A3,avg_fixation_time_AOI_A4,avg_fixation_time_AOI_A5,avg_fixation_time_AOI_A6,is_correct,cluster
0.571428571,0.308880309,0.158301158,0.11969112,0.007722008,0.0,452.8783784,523.65,561.804878,478.5806452,200.5,0.0,0,1
0.376923077,0.257692308,0.061538462,0.271153846,0.032692308,0.094230769,465.5102041,550.8283582,933.875,573.1276596,443.7058824,579.244898,1,0
0.421182266,0.267241379,0.066502463,0.3091133,0.246305419,0.002463054,633.2222222,544.9539171,364.8148148,426.4820717,422.315,442.0,1,0
0.592156863,0.362745098,0.268627451,0.039215686,0.031372549,0.005882353,544.3642384,739.7621622,586.1021898,396.65,410.9375,377.6666667,0,1
0.703703704,0.271604938,0.259259259,0.024691358,0.0,0.0,568.8947368,480.6818182,492.1428571,563.25,0.0,0.0,1,0
0.694690265,0.230088496,0.203539823,0.075221239,0.0,0.0,761.1082803,688.5961538,727.4565217,616.2352941,0.0,0.0,1,0
0.56870229,0.372137405,0.076335878,0.059160305,0.02480916,0.0,590.4798658,817.9025641,702.75,506.8387097,465.3076923,0.0,1,0
0.676190476,0.214285714,0.2,0.10952381,0.0,0.0,599.8521127,672.9333333,702.7142857,445.2173913,0.0,0.0,0,1
0.650519031,0.221453287,0.034602076,0.128027682,0.006920415,0.0,674.3085106,477.578125,717.2,475.5945946,230.5,0.0,1,0
0.35483871,0.353046595,0.318996416,0.292114695,0.0,0.0,393.040404,547.7208122,548.3764045,503.7361963,0.0,0.0,1,0
0.385674931,0.393939394,0.366391185,0.220385675,0.019283747,0.0,540.5,872.6643357,921.075188,530.875,378.2857143,0.0,0,1
0.25,0.32748538,0.276315789,0.42251462,0.380116959,0.0,423.2339181,551.7142857,566.6984127,510.7093426,514.7846154,0.0,0,1
0.551369863,0.356164384,0.171232877,0.071917808,0.010273973,0.020547945,556.5465839,697.0192308,628.6,350.952381,320.3333333,268.5,1,0
0.463276836,0.333333333,0.322033898,0.203389831,0.0,0.0,463.4390244,675.3050847,680.7894737,941.4861111,0.0,0.0,1,0
0.824295011,0.160520607,0.004338395,0.015184382,0.0,0.0,555.6342105,492.1216216,341.5,228.5714286,0.0,0.0,1,0
0.420427553,0.372921615,0.109263658,0.206650831,0.0,0.0,621.3276836,551.3375796,664.326087,833.9195402,0.0,0.0,1,0
0.292834891,0.281931464,0.269470405,0.425233645,0.017133956,0.0,869.0638298,675.7734807,694.867052,596.4505495,272.3636364,0.0,0,1
0.492021277,0.417553191,0.335106383,0.07712766,0.0,0.013297872,681.0108108,607.611465,657.7142857,1170.62069,0.0,433.0,1,0
0.51056338,0.401408451,0.36971831,0.088028169,0.0,0.0,561.0413793,562.377193,578.3142857,653.32,0.0,0.0,1,0
0.452631579,0.485964912,0.324561404,0.061403509,0.061403509,0.0,525.5891473,532.4548736,561.4216216,389.0,389.0,0.0,0,1
0.514705882,0.365546218,0.115546218,0.119747899,0.058823529,0.0,439.8612245,510.3045977,482.2545455,471.7894737,508.6785714,0.0,1,0
0.157650696,0.607418856,0.378670788,0.234930448,0.0,0.0,525.5588235,546.8854962,557.0653061,529.4013158,0.0,0.0,1,0
0.351648352,0.367032967,0.314285714,0.276923077,0.002197802,0.004395604,525.1375,493.7305389,506.2097902,419.6111111,151.0,204.0,0,1
0.32605042,0.41512605,0.186554622,0.258823529,0.191596639,0.0,543.0927835,560.242915,679.0720721,544.2532468,556.3508772,0.0,0,1
0.37254902,0.553921569,0.392156863,0.073529412,0.0,0.0,608.8355263,596.1769912,658.05,422.6333333,0.0,0.0,1,0
0.740458015,0.194656489,0.030534351,0.045801527,0.0,0.019083969,584.3247423,784.0392157,1655.125,3919.0,0.0,756.4,1,0
0.525925926,0.388888889,0.32962963,0.085185185,0.0,0.0,567.4014085,740.3809524,784.5842697,213.4347826,0.0,0.0,1,0
0.151515152,0.02020202,0.0,0.767676768,0.181818182,0.060606061,295.1333333,460.5,0.0,2739.513158,10110.72222,801.3333333,1,0
1.0,0.0,0.0,0.0,0.0,0.0,288.3571429,0.0,0.0,0.0,0.0,0.0,0,1
0.226713533,0.46397188,0.13884007,0.0,0.0,0.309314587,614.3953488,745.125,578.7468354,0.0,0.0,764.0454545,1,0
0.205128205,0.435897436,0.41025641,0.358974359,0.006410256,0.0,457.0416667,657.8480392,671.3489583,588.1130952,385.6666667,0.0,0,1
0.2,0.436363636,0.436363636,0.363636364,0.0,0.0,535.0909091,942.2291667,942.2291667,781.85,0.0,0.0,1,0
0.263473054,0.676646707,0.640718563,0.04491018,0.0,0.01497006,663.5681818,876.8053097,895.7803738,327.6,0.0,344.8,1,0
0.577023499,0.396866841,0.161879896,0.026109661,0.0,0.0,469.6606335,616.1973684,506.9354839,270.3,0.0,0.0,1,0
0.388746803,0.439897698,0.145780051,0.171355499,0.0,0.0,339.2368421,420.3372093,422.8245614,410.2835821,0.0,0.0,1,0
0.528301887,0.155660377,0.146226415,0.316037736,0.066037736,0.0,292.9285714,449.9393939,464.7419355,314.0597015,287.2857143,0.0,0,1
0.516605166,0.354243542,0.236162362,0.129151292,0.10701107,0.0,369.8642857,548.2291667,537.359375,312.8857143,310.6896552,0.0,0,1
0.59223301,0.174757282,0.169902913,0.233009709,0.0,0.0,370.0409836,632.2777778,643.7142857,449.7291667,0.0,0.0,1,0
0.666666667,0.271929825,0.061403509,0.061403509,0.013157895,0.0,341.5328947,378.7096774,403.3571429,259.6428571,417.0,0.0,1,0
0.662671233,0.244863014,0.215753425,0.092465753,0.0,0.0,505.9870801,545.2867133,576.5238095,559.537037,0.0,0.0,0,1
0.716494845,0.25257732,0.134020619,0.030927835,0.003436426,0.0,523.7314149,729.877551,905.8205128,451.8888889,442.5,0.0,1,0
0.728613569,0.14159292,0.132743363,0.12979351,0.0,0.0,491.4251012,726.3958333,765.6,808.7272727,0.0,0.0,1,0
0.546376812,0.44057971,0.279710145,0.013043478,0.0,0.0,521.3554377,717.8486842,705.507772,51027.88889,0.0,0.0,1,0
0.628378378,0.334459459,0.202702703,0.037162162,0.0,0.0,664.1075269,845.9393939,994.4666667,290.3636364,0.0,0.0,0,1
0.712435233,0.272020725,0.230569948,0.015544041,0.0,0.0,596.1090909,721.647619,789.8988764,458.1666667,0.0,0.0,1,0
0.501336898,0.45855615,0.237967914,0.040106952,0.001336898,0.0,677.1946667,623.574344,640.4101124,418.0,158.0,0.0,1,0
0.239608802,0.711491443,0.462102689,0.048899756,0.0,0.0,480.9285714,645.1786942,699.8888889,347.25,0.0,0.0,0,1
0.182634731,0.766467066,0.263473054,0.050898204,0.0,0.0,1148.344262,693.28125,786.25,647.6470588,0.0,0.0,1,0
0.411522634,0.5781893,0.267489712,0.010288066,0.0,0.0,744.37,735.7153025,765.8461538,697.2,0.0,0.0,1,0
0.58524173,0.391857506,0.239185751,0.022900763,0.0,0.0,764.2869565,626.4935065,659.2021277,304.7777778,0.0,0.0,0,1
0.364303178,0.618581907,0.249388753,0.017114914,0.0,0.0,687.2348993,844.0513834,654.4901961,293.2857143,0.0,0.0,1,0
0.55704698,0.37360179,0.324384787,0.06935123,0.0,0.0,720.0,696.9101796,734.4137931,394.0322581,0.0,0.0,1,0
0.476027397,0.29109589,0.202054795,0.232876712,0.0,0.0,610.7122302,704.6941176,666.7627119,1022.338235,0.0,0.0,1,0
0.503731343,0.453358209,0.151119403,0.042910448,0.0,0.0,686.2888889,783.1111111,561.9382716,382.6956522,0.0,0.0,1,0
0.628888889,0.333333333,0.133333333,0.0,0.0,0.037777778,847.3816254,716.48,857.4333333,0.0,0.0,6293.470588,1,0
0.632462687,0.305970149,0.22761194,0.02238806,0.0,0.039179104,668.7669617,637.6646341,541.6065574,310.1666667,0.0,1429.333333,0,1
0.608501119,0.36689038,0.302013423,0.024608501,0.0,0.0,1089.514706,2035.969512,704.1777778,393.1818182,0.0,0.0,0,1
0.463175123,0.382978723,0.065466448,0.153846154,0.024549918,0.0,356.8091873,367.8675214,526.775,276.4148936,192.8,0.0,1,0
0.486935867,0.25415677,0.22327791,0.258907363,0.004750594,0.0,300.2731707,390.2429907,319.7659574,319.9724771,487.5,0.0,1,0
0.39769821,0.60230179,0.10230179,0.0,0.0,0.0,352.8971061,446.7898089,456.375,0.0,0.0,0.0,1,0
0.442996743,0.540716612,0.526058632,0.016286645,0.0,0.0,300.2242647,257.5180723,257.7275542,398.6,0.0,0.0,1,0
0.602230483,0.237918216,0.204460967,0.159851301,0.0,0.0,333.4691358,491.40625,479.4181818,268.7209302,0.0,0.0,0,1
0.515267176,0.41221374,0.309160305,0.072519084,0.0,0.0,483.4592593,464.712963,471.7654321,240.0,0.0,0.0,0,1
0.52739726,0.335616438,0.335616438,0.136986301,0.0,0.0,516.025974,1002.387755,1002.387755,318.3,0.0,0.0,1,0
0.515222482,0.466042155,0.339578454,0.018735363,0.0,0.0,679.8,709.2613065,790.937931,414.125,0.0,0.0,1,0
0.614107884,0.340248963,0.230290456,0.045643154,0.039419087,0.0,675.527027,865.9085366,806.7657658,570.9090909,495.5789474,0.0,0,1
0.443057722,0.536661466,0.132605304,0.020280811,0.0,0.0,677.5387324,736.9680233,600.8823529,296.0769231,0.0,0.0,1,0
0.668367347,0.234693878,0.142857143,0.096938776,0.0,0.0,497.3740458,660.1086957,710.7142857,684.4210526,0.0,0.0,0,1
0.664723032,0.306122449,0.026239067,0.0,0.0,0.029154519,599.4166667,781.9619048,1615.666667,0.0,0.0,340.5,1,0
0.487261146,0.321656051,0.229299363,0.191082803,0.003184713,0.0,1055.457516,637.6534653,735.9027778,428.3166667,341.0,0.0,0,1
0.765765766,0.171171171,0.156156156,0.063063063,0.0,0.0,879.5960784,1282.859649,775.7884615,289.5238095,0.0,0.0,1,0
0.575221239,0.353982301,0.327433628,0.07079646,0.0,0.0,994.9641026,1122.1,1182.900901,350.5,0.0,0.0,1,0
0.535645472,0.418111753,0.352601156,0.046242775,0.0,0.0,812.9568345,1122.110599,1152.994536,364.875,0.0,0.0,0,1
0.31643002,0.68356998,0.09127789,0.0,0.0,0.0,948.9679487,917.8397626,1360.377778,0.0,0.0,0.0,1,0
0.471374046,0.507633588,0.251908397,0.020992366,0.0,0.0,810.4979757,1252.590226,1060.969697,282.9090909,0.0,0.0,1,0
0.442396313,0.465437788,0.062211982,0.073732719,0.0,0.01843318,579.9479167,729.8316832,1357.703704,452.21875,0.0,452.375,1,0
0.445544554,0.260726073,0.161716172,0.293729373,0.267326733,0.0,633.4814815,1063.962025,1022.5,1007.325843,1059.08642,0.0,0,1
0.454545455,0.409090909,0.318181818,0.136363636,0.0,0.0,499.6428571,596.8095238,631.4693878,338.8571429,0.0,0.0,1,0
0.463659148,0.323308271,0.235588972,0.213032581,0.01754386,0.0,538.5135135,821.4496124,911.2553191,884.3764706,276.7142857,0.0,0,1
0.364885496,0.616793893,0.441221374,0.018320611,0.0,0.0,909.2175732,906.4133663,1035.024221,483.8333333,0.0,0.0,1,0
0.524475524,0.391608392,0.342657343,0.083916084,0.0,0.0,704.6933333,1259.839286,1056.428571,508.5833333,0.0,0.0,1,0
0.556561086,0.398190045,0.371040724,0.045248869,0.0,0.0,497.5853659,1133.045455,1200.158537,411.9,0.0,0.0,1,0
0.496350365,0.430656934,0.389294404,0.072992701,0.00243309,0.0,396.2794118,628.3954802,600.43125,464.8333333,2582.0,0.0,0,1
0.595611285,0.39184953,0.087774295,0.012539185,0.0,0.0,529.9368421,575.072,733.5357143,584.0,0.0,0.0,1,0
0.6375,0.346428571,0.058928571,0.016071429,0.0,0.0,491.0952381,458.9896907,674.969697,325.1111111,0.0,0.0,1,0
0.508264463,0.425619835,0.411157025,0.066115702,0.0,0.0,491.2886179,578.2427184,591.4924623,324.40625,0.0,0.0,0,1
0.548076923,0.394230769,0.368589744,0.057692308,0.0,0.0,457.6842105,691.9512195,726.026087,284.3333333,0.0,0.0,1,0
0.796416938,0.179153094,0.131921824,0.024429967,0.011400651,0.0,806.9631902,1059.063636,1095.506173,603.2,740.8571429,0.0,0,1
0.853700516,0.104991394,0.098106713,0.04130809,0.0,0.0,678.9596774,643.6065574,671.6140351,480.25,0.0,0.0,0,1
0.690366972,0.236238532,0.066513761,0.066513761,0.0,0.006880734,772.2923588,668.9223301,764.1034483,443.9655172,0.0,228.0,1,0
0.810344828,0.165517241,0.144827586,0.024137931,0.0,0.0,684.9021277,813.4375,844.2857143,954.8571429,0.0,0.0,1,0
0.683937824,0.279792746,0.163212435,0.03626943,0.0,0.0,650.8674242,1430.138889,852.6031746,504.7142857,0.0,0.0,1,0
0.775510204,0.170068027,0.136054422,0.054421769,0.0,0.0,691.9035088,637.6,702.75,442.875,0.0,0.0,1,0
0.60364465,0.28929385,0.26651481,0.1070615,0.0,0.0,414.441509,357.464567,353.179487,379.87234,0.0,0.0,1,0
