fixation_id,fixation_run_id,fixation_start_event_time,fixation_order_number,x,y,fixation_target,source_file_line,source_file_col,token,syntactic_category,xpath,left_pupil_diameter,right_pupil_diameter,duration
20ccbbfe-43fc-4f2c-b041-f80706470e23,1684255476380,133263911105432814,1,811.5,238.625,TimeSeries.java,1172,66,,,,4.18415,4.14286,167
1ab1d429-2755-4ec8-9e6a-283add734a98,1684255476380,133263911095926688,2,480.527,546.618,TimeSeries.java,1192,19,,,,4.21555,4.19113,685
a5d9eb09-33ae-49e1-aa14-ef027ed6d6ac,1684255476380,133263911090600679,3,540.767,333.833,TimeSeries.java,1151,28,,,,4.249,4.27477,298
f28609f0-98dc-40b1-8144-747fa01de5aa,1684255476380,133263911078763634,4,570.13,161.043,TimeSeries.java,1140,31,,,,4.17879,4.15458,184
c4be4e1f-ba10-4be7-a05a-cdd6466a914f,1684255476380,133263911066345308,5,539.81,400.905,TimeSeries.java,1156,26,,,,3.92794,3.95038,184
7aac3b3d-b26d-43e4-8ef0-f7bcd8a85586,1684255476380,133263911032933102,6,670.947,495.932,Bug-2.txt,37,35,,,,4.05,3.98051,1165
5a0f431f-3934-4ef6-936c-324ed24b1f77,1684255476380,133263911027768011,7,494,496.594,Bug-2.txt,37,26,,,,4.08315,4.0632,483
3683f412-7889-4a2c-adef-1a5d62e4546d,1684255476380,133263911021684044,8,379.262,505.831,Bug-2.txt,37,7,,,,4.07343,4.07352,566
7c18cd98-127d-4928-bd42-43af256814c3,1684255476380,133263911016181303,9,385.837,501.256,Bug-2.txt,37,7,,,,4.08525,4.07307,392
c553581a-8ce7-4f90-875b-285b5f8a7c50,1684255476380,133263910995328204,10,436.644,498.385,Bug-2.txt,37,25,,,,4.22088,4.16915,2069
4ddd3366-61da-455f-a229-1029ec2c10e9,1684255476380,133263910992833283,11,406.111,498.333,Bug-2.txt,37,11,,,,4.23304,4.18637,219
c93dbbe7-9e8f-4478-a746-b7c4e3595989,1684255476380,133263910988753296,12,343.032,260.516,Bug-2.txt,21,2,,,,4.30991,4.18422,368
837fef55-e705-4c53-9729-a30da999c9ce,1684255476380,133263910955018685,13,447.75,221.222,TimeSeriesTest.java,142,14,,,,3.86269,3.80938,306
b2aadddd-174e-4b4b-ac84-a3d95b7d044b,1684255476380,133263910949016847,14,378.75,644.143,TimeSeriesTest.java,182,4,,,,3.83008,3.84307,264
6b5c63dd-ef5a-4a1b-a42e-b0c8ade16184,1684255476380,133263910856019557,15,702.133,107,TimeSeriesTest.java,152,50,,,,4.48951,4.43338,242
ce4672cd-a132-4f86-93d3-d9c9e065a190,1684255476380,133263910854017643,16,635.333,109.167,TimeSeriesTest.java,152,41,,,,4.48648,4.38932,108
e33ff282-3925-4a88-ae73-64bae5a46f73,1684255476380,133263910846334144,17,372.731,122.038,TimeSeriesTest.java,153,3,,,,4.47906,4.42965,594
55bcc34d-e310-4549-b6b6-c91641cc8c1c,1684255476380,133263910839097868,18,455.636,103.091,TimeSeriesTest.java,152,15,,,,4.56188,4.56354,132
13e6a86a-9c3a-4cf4-b6e0-704b8a5497c2,1684255476380,133263910811441933,19,421.676,517.324,TimeSeries.java,1185,10,,,,3.96824,3.94402,300
61244008-56c3-4327-a495-d4948390514d,1684255476380,133263910802602646,20,407.844,585.25,TimeSeries.java,1182,8,,,,4.09673,4.11168,375
37982fb9-10f0-4b61-92b1-b8c86e801612,1684255476380,133263910798103963,21,652,397.571,TimeSeries.java,1153,44,,,,4.17277,4.1843,357
3bf5df41-07b2-4ffa-a467-8d9d28ef93fc,1684255476380,133263910787935789,22,690.615,686.692,Bug-2.txt,62,52,,,,4.08673,4.08878,241
c38010cd-d77b-42c7-a88f-4aab246da867,1684255476380,133263910784855241,23,498.261,669.565,Bug-2.txt,61,24,,,,4.01931,4.02218,180
a500e76a-357c-472b-a3b9-68c6250196f7,1684255476380,133263910782103091,24,340,618.538,Bug-2.txt,57,2,,,,4.03459,4.0224,255
798d5f94-ab0c-4964-af66-db90d4befea1,1684255476380,133263910766251528,25,532.125,335.625,TimeSeries.java,1149,26,,,,3.93742,3.91531,200
adecfbaa-dc4d-4ebc-8de2-071f191edcf2,1684255476380,133263910743500311,26,541.321,347.286,TimeSeries.java,1149,27,,,,4.04376,4.05165,242
2c096742-1e17-4ae4-8c35-31a925e20be7,1684255476380,133263910733604272,27,432.079,347.632,TimeSeries.java,1149,11,,,,4.09412,4.09942,948
891d4e1c-75c0-4317-a471-9e667389fdbc,1684255476380,133263910730685659,28,362.5,347.667,TimeSeries.java,1149,1,,,,4.14166,4.12124,124
20dd76a5-311a-4325-8fe5-e88eaab5486b,1684255476380,133263910725005429,29,535.826,323.022,TimeSeries.java,1148,27,,,,4.23782,4.22802,376
74dd8317-2895-433f-9a92-2df792d785ff,1684255476380,133263910702349018,30,401.676,351.318,TimeSeries.java,1149,4,,,,4.1265,4.10881,2240
41170c08-8abc-47ef-9200-7a1bae6fdaeb,1684255476380,133263910685506494,31,458.789,663.342,Bug-2.txt,60,18,,,,4.0461,4.00015,317
3f2551db-1caa-4754-8bc1-0156fffc80ba,1684255476380,133263910677335984,32,399.478,636,Bug-2.txt,58,10,,,,4.32818,4.32292,493
15a9bd65-0804-4bbc-b39c-a09bc3f101d8,1684255476380,133263910658506032,33,387.214,622.93,Bug-2.txt,57,11,,,,4.32152,4.29742,1844
b15f3be2-abda-4df5-a67f-f251b666ce15,1684255476380,133263910656841317,34,348,497.929,Bug-2.txt,49,3,,,,4.34046,4.32865,133
723e4b4c-7cab-451b-849e-5b3b0b1cf66a,1684255476380,133263910655521356,35,395.538,587.154,Bug-2.txt,55,10,,,,4.34409,4.32988,98
72421cc7-c52a-4dc9-84cd-3dc4352ce52e,1684255476380,133263910649854156,36,351.536,311.321,Bug-2.txt,37,3,,,,4.49329,4.52439,240
664577cd-3503-4fcc-9d38-7158325ec827,1684255476380,133263910639438335,37,475.333,122.444,TimeSeries.java,1134,18,,,,4.20872,4.15912,89
7b3e79a5-62f7-4ac0-bb7f-fbdf09589e0a,1684255476380,133263910636770966,38,528.957,322.957,TimeSeries.java,1148,25,,,,4.16959,4.13367,200
72f45515-5868-475a-9975-010e213177c3,1684255476380,133263910630602284,39,418.079,324.857,TimeSeries.java,1148,9,,,,4.46018,4.43086,592
00223cf4-fac2-4143-b888-fee0ab818de5,1684255476380,133263910603105631,40,476.675,326.135,TimeSeries.java,1148,18,,,,4.41948,4.40574,2208
17f9c1f9-776a-4ebd-a732-6c90f925d9ca,1684255476380,133263910586338040,41,543.731,312.731,TimeSeries.java,1147,28,,,,4.25829,4.22477,1185
7c99db08-a5f7-45b8-8dcd-f386cab5f360,1684255476380,133263910572254826,42,481.438,142.813,Bug-2.txt,25,22,,,,4.48575,4.47022,166
c3db295e-1fa5-4147-b1be-a94935a9b3d4,1684255476380,133263910559420575,43,518.286,622.125,Bug-2.txt,57,28,,,,4.207,4.17708,575
af0ae569-398d-4294-a651-1c01cdec716d,1684255476380,133263910549354416,44,371.991,620.698,Bug-2.txt,57,6,,,,4.10075,4.07915,950
e9b3d6a0-527f-44ea-924d-39d39141e5ee,1684255476380,133263910541855652,45,416.596,619.685,Bug-2.txt,57,12,,,,4.19953,4.22313,733
bb5087d5-1752-4c87-9555-e1460f5bb19b,1684255476380,133263910534499323,46,426.431,339.552,TimeSeries.java,1148,14,,,,4.29642,4.2521,5169
