PID,Task,bug_number,AOI,AOI_No,Accuracy_0_1,Accept_Y_N,FxCount,TotalFixationTime,AvgFixationDuration
124,T1,5,bug_total,0,1,0,297,195498,658.2424242424242
124,T1,5,bug_priority,1,1,0,2,1209,604.5
124,T1,5,bug_author,2,1,0,46,47789,1038.891304347826
124,T1,5,bug_summary,3,1,0,25,14085,563.4
124,T1,5,bug_patch_code,4,1,0,220,128805,585.4772727272727
124,T2,15,bug_total,0,1,1,360,225783,627.175
124,T2,15,bug_priority,1,1,1,10,5866,586.6
124,T2,15,bug_author,2,1,1,39,24131,618.7435897435897
124,T2,15,bug_summary,3,1,1,74,36522,493.5405405405405
124,T2,15,bug_patch_code,4,1,1,221,151811,686.9276018099547
124,T3,2,bug_total,0,1,1,331,171156,517.0876132930514
124,T3,2,bug_priority,1,1,1,2,1386,693.0
124,T3,2,bug_author,2,1,1,49,24605,502.14285714285717
124,T3,2,bug_summary,3,1,1,44,23977,544.9318181818181
124,T3,2,bug_patch_code,4,1,1,171,90549,529.5263157894736
124,T4,19,bug_total,0,1,1,268,164284,613.0
124,T4,19,bug_priority,1,1,1,2,1053,526.5
124,T4,19,bug_author,2,1,1,18,7578,421.0
124,T4,19,bug_summary,3,1,1,26,18036,693.6923076923077
124,T4,19,bug_patch_code,4,1,1,198,120549,608.8333333333334
124,T5,10,bug_total,0,0,0,173,109804,634.7052023121387
124,T5,10,bug_priority,1,0,0,5,2802,560.4
124,T5,10,bug_author,2,0,0,23,11391,495.2608695652174
124,T5,10,bug_summary,3,0,0,99,55087,556.4343434343434
124,T5,10,bug_patch_code,4,0,0,45,38803,862.2888888888889
124,T6,24,bug_total,0,0,0,210,109800,522.8571428571429
124,T6,24,bug_priority,1,0,0,1,1117,1117.0
124,T6,24,bug_author,2,0,0,15,9090,606.0
124,T6,24,bug_summary,3,0,0,79,35906,454.50632911392404
124,T6,24,bug_patch_code,4,0,0,88,51398,584.0681818181819
