PID,Task,bug_number,AOI,AOI_No,Accuracy_0_1,Accept_Y_N,FxCount,TotalFixationTime,AvgFixationDuration
135,T1,5,bug_total,0,1,1,73,48003,657.5753424657535
135,T1,5,bug_priority,1,1,1,1,408,408.0
135,T1,5,bug_author,2,1,1,12,5938,494.8333333333333
135,T1,5,bug_summary,3,1,1,12,5678,473.1666666666667
135,T1,5,bug_patch_code,4,1,1,45,34144,758.7555555555556
135,T2,1,bug_total,0,1,1,127,65723,517.503937007874
135,T2,1,bug_priority,1,1,1,0,0,NA
135,T2,1,bug_author,2,1,1,27,11518,426.5925925925926
135,T2,1,bug_summary,3,1,1,43,20644,480.09302325581393
135,T2,1,bug_patch_code,4,1,1,57,33561,588.7894736842105
135,T3,24,bug_total,0,0,0,182,100965,554.7527472527472
135,T3,24,bug_priority,1,0,0,1,468,468.0
135,T3,24,bug_author,2,0,0,49,21884,446.61224489795916
135,T3,24,bug_summary,3,0,0,22,10331,469.59090909090907
135,T3,24,bug_patch_code,4,0,0,70,50106,715.8
135,T4,18,bug_total,0,1,1,153,93333,610.0196078431372
135,T4,18,bug_priority,1,1,1,2,495,247.5
135,T4,18,bug_author,2,1,1,9,4334,481.55555555555554
135,T4,18,bug_summary,3,1,1,18,9155,508.6111111111111
135,T4,18,bug_patch_code,4,1,1,114,76098,667.5263157894736
135,T5,10,bug_total,0,0,0,131,69102,527.4961832061068
135,T5,10,bug_priority,1,0,0,0,0,NA
135,T5,10,bug_author,2,0,0,4,8166,2041.5
135,T5,10,bug_summary,3,0,0,72,28611,397.375
135,T5,10,bug_patch_code,4,0,0,54,32142,595.2222222222222
135,T6,15,bug_total,0,1,1,165,81703,495.169696969697
135,T6,15,bug_priority,1,1,1,0,0,NA
135,T6,15,bug_author,2,1,1,11,3995,363.1818181818182
135,T6,15,bug_summary,3,1,1,14,5062,361.57142857142856
135,T6,15,bug_patch_code,4,1,1,121,64166,530.297520661157
