PID,Task,bug_number,AOI,AOI_No,Accuracy_0_1,Accept_Y_N,FxCount,TotalFixationTime,AvgFixationDuration
130,T1,22,bug_total,0,0,0,166,93109,560.8975903614457
130,T1,22,bug_priority,1,0,0,0,0,NA
130,T1,22,bug_author,2,0,0,21,8809,419.4761904761905
130,T1,22,bug_summary,3,0,0,36,14158,393.27777777777777
130,T1,22,bug_patch_code,4,0,0,107,68025,635.7476635514018
130,T2,12,bug_total,0,0,0,190,69060,363.4736842105263
130,T2,12,bug_priority,1,0,0,1,1375,1375.0
130,T2,12,bug_author,2,0,0,33,13929,422.09090909090907
130,T2,12,bug_summary,3,0,0,26,10152,390.46153846153845
130,T2,12,bug_patch_code,4,0,0,72,25331,351.81944444444446
130,T3,2,bug_total,0,1,1,149,69819,468.5838926174497
130,T3,2,bug_priority,1,1,1,0,0,NA
130,T3,2,bug_author,2,1,1,31,19441,627.1290322580645
130,T3,2,bug_summary,3,1,1,17,6377,375.11764705882354
130,T3,2,bug_patch_code,4,1,1,96,41534,432.6458333333333
130,T4,13,bug_total,0,1,0,210,96186,458.0285714285714
130,T4,13,bug_priority,1,1,0,2,2498,1249.0
130,T4,13,bug_author,2,1,0,33,11937,361.72727272727275
130,T4,13,bug_summary,3,1,0,31,10061,324.5483870967742
130,T4,13,bug_patch_code,4,1,0,136,65298,480.13235294117646
130,T5,7,bug_total,0,1,1,238,133397,560.4915966386554
130,T5,7,bug_priority,1,1,1,2,574,287.0
130,T5,7,bug_author,2,1,1,34,13105,385.44117647058823
130,T5,7,bug_summary,3,1,1,25,34759,1390.36
130,T5,7,bug_patch_code,4,1,1,143,73541,514.2727272727273
130,T6,19,bug_total,0,1,0,199,108708,546.2713567839196
130,T6,19,bug_priority,1,1,0,4,2615,653.75
130,T6,19,bug_author,2,1,0,33,14331,434.27272727272725
130,T6,19,bug_summary,3,1,0,12,3216,268.0
130,T6,19,bug_patch_code,4,1,0,139,84225,605.9352517985611
