PID,Task,bug_number,AOI,AOI_No,Accuracy_0_1,Accept_Y_N,FxCount,TotalFixationTime,AvgFixationDuration
122,T1,21,bug_total,0,0,1,489,394605,806.963190184049
122,T1,21,bug_priority,1,0,1,0,0,NA
122,T1,21,bug_author,2,0,1,34,29793,876.2647058823529
122,T1,21,bug_summary,3,0,1,77,67520,876.8831168831168
122,T1,21,bug_patch_code,4,0,1,374,291006,778.0909090909091
122,T2,9,bug_total,0,0,0,496,336764,678.9596774193549
122,T2,9,bug_priority,1,0,0,2,1349,674.5
122,T2,9,bug_author,2,0,0,39,18758,480.97435897435895
122,T2,9,bug_summary,3,0,0,176,140859,800.3352272727273
122,T2,9,bug_patch_code,4,0,0,272,172631,634.6727941176471
122,T3,16,bug_total,0,1,1,301,232460,772.2923588039868
122,T3,16,bug_priority,1,1,1,1,161,161.0
122,T3,16,bug_author,2,1,1,26,24560,944.6153846153846
122,T3,16,bug_summary,3,1,1,34,22979,675.8529411764706
122,T3,16,bug_patch_code,4,1,1,178,144112,809.6179775280899
122,T4,6,bug_total,0,1,1,235,160952,684.9021276595745
122,T4,6,bug_priority,1,1,1,2,1340,670.0
122,T4,6,bug_author,2,1,1,27,18928,701.0370370370371
122,T4,6,bug_summary,3,1,1,78,68827,882.3974358974359
122,T4,6,bug_patch_code,4,1,1,102,58934,577.7843137254902
122,T5,20,bug_total,0,1,1,264,171829,650.8674242424242
122,T5,20,bug_priority,1,1,1,3,744,248.0
122,T5,20,bug_author,2,1,1,21,13468,641.3333333333334
122,T5,20,bug_summary,3,1,1,33,16437,498.09090909090907
122,T5,20,bug_patch_code,4,1,1,182,128711,707.2032967032967
122,T6,3,bug_total,0,1,1,114,78877,691.9035087719299
122,T6,3,bug_priority,1,1,1,0,0,NA
122,T6,3,bug_author,2,1,1,34,25823,759.5
122,T6,3,bug_summary,3,1,1,23,13235,575.4347826086956
122,T6,3,bug_patch_code,4,1,1,43,29676,690.1395348837209
