PID,Task,bug_number,AOI,AOI_No,Accuracy_0_1,Accept_Y_N,FxCount,TotalFixationTime,AvgFixationDuration
140,T1,9,bug_total,0,0,0,213,113942,534.9389671361503
140,T1,9,bug_priority,1,0,0,0,0,NA
140,T1,9,bug_author,2,0,0,16,8372,523.25
140,T1,9,bug_summary,3,0,0,70,39393,562.7571428571429
140,T1,9,bug_patch_code,4,0,0,126,65556,520.2857142857143
140,T2,14,bug_total,0,1,1,526,251696,478.50950570342206
140,T2,14,bug_priority,1,1,1,3,2798,932.6666666666666
140,T2,14,bug_author,2,1,1,46,16888,367.1304347826087
140,T2,14,bug_summary,3,1,1,72,33963,471.7083333333333
140,T2,14,bug_patch_code,4,1,1,325,153297,471.6830769230769
140,T3,20,bug_total,0,1,1,395,205724,520.820253164557
140,T3,20,bug_priority,1,1,1,1,1908,1908.0
140,T3,20,bug_author,2,1,1,13,5152,396.3076923076923
140,T3,20,bug_summary,3,1,1,68,38241,562.3676470588235
140,T3,20,bug_patch_code,4,1,1,249,127458,511.87951807228916
140,T4,21,bug_total,0,0,0,393,206786,526.1730279898219
140,T4,21,bug_priority,1,0,0,0,0,NA
140,T4,21,bug_author,2,0,0,20,6315,315.75
140,T4,21,bug_summary,3,0,0,169,96041,568.2899408284023
140,T4,21,bug_patch_code,4,0,0,204,104430,511.9117647058824
140,T5,7,bug_total,0,1,1,253,158391,626.0513833992095
140,T5,7,bug_priority,1,1,1,1,475,475.0
140,T5,7,bug_author,2,1,1,30,16312,543.7333333333333
140,T5,7,bug_summary,3,1,1,49,42118,859.5510204081633
140,T5,7,bug_patch_code,4,1,1,167,94637,566.688622754491
140,T6,4,bug_total,0,1,1,244,123803,507.3893442622951
140,T6,4,bug_priority,1,1,1,1,417,417.0
140,T6,4,bug_author,2,1,1,39,23565,604.2307692307693
140,T6,4,bug_summary,3,1,1,9,3265,362.77777777777777
140,T6,4,bug_patch_code,4,1,1,127,65769,517.8661417322835
