PID,Task,bug_number,AOI,AOI_No,Accuracy_0_1,Accept_Y_N,FxCount,TotalFixationTime,AvgFixationDuration
125,T1,15,bug_total,0,1,1,218,111458,511.27522935779814
125,T1,15,bug_priority,1,1,1,4,1021,255.25
125,T1,15,bug_author,2,1,1,29,11582,399.37931034482756
125,T1,15,bug_summary,3,1,1,24,14448,602.0
125,T1,15,bug_patch_code,4,1,1,152,81081,533.4276315789474
125,T2,19,bug_total,0,1,1,287,155263,540.98606271777
125,T2,19,bug_priority,1,1,1,2,1017,508.5
125,T2,19,bug_author,2,1,1,42,15077,358.9761904761905
125,T2,19,bug_summary,3,1,1,25,11464,458.56
125,T2,19,bug_patch_code,4,1,1,195,113652,582.8307692307692
125,T3,2,bug_total,0,1,1,199,96001,482.4170854271357
125,T3,2,bug_priority,1,1,1,2,231,115.5
125,T3,2,bug_author,2,1,1,26,10937,420.65384615384613
125,T3,2,bug_summary,3,1,1,23,8102,352.2608695652174
125,T3,2,bug_patch_code,4,1,1,140,74303,530.7357142857143
125,T4,5,bug_total,0,1,0,202,134448,665.5841584158416
125,T4,5,bug_priority,1,1,0,0,0,NA
125,T4,5,bug_author,2,1,0,21,6572,312.95238095238096
125,T4,5,bug_summary,3,1,0,52,35556,683.7692307692307
125,T4,5,bug_patch_code,4,1,0,124,90846,732.6290322580645
125,T5,22,bug_total,0,0,0,172,102323,594.9011627906976
125,T5,22,bug_priority,1,0,0,2,240,120.0
125,T5,22,bug_author,2,0,0,20,6483,324.15
125,T5,22,bug_summary,3,0,0,69,41552,602.2028985507246
125,T5,22,bug_patch_code,4,0,0,79,53439,676.4430379746835
125,T6,12,bug_total,0,0,0,105,54388,517.9809523809524
125,T6,12,bug_priority,1,0,0,0,0,NA
125,T6,12,bug_author,2,0,0,15,5559,370.6
125,T6,12,bug_summary,3,0,0,23,9967,433.3478260869565
125,T6,12,bug_patch_code,4,0,0,44,29618,673.1363636363636
