PID,Task,bug_number,AOI,AOI_No,Accuracy_0_1,Accept_Y_N,FxCount,TotalFixationTime,AvgFixationDuration
108,T1,21,bug_total,0,0,1,302,164398,544.364238410596
108,T1,21,bug_priority,1,0,1,0,0,NA
108,T1,21,bug_author,2,0,1,36,18289,508.02777777777777
108,T1,21,bug_summary,3,0,1,68,28280,415.88235294117646
108,T1,21,bug_patch_code,4,0,1,196,117354,598.7448979591836
108,T2,2,bug_total,0,1,0,114,64854,568.8947368421053
108,T2,2,bug_priority,1,1,0,2,508,254.0
108,T2,2,bug_author,2,1,0,27,16213,600.4814814814815
108,T2,2,bug_summary,3,1,0,29,17467,602.3103448275862
108,T2,2,bug_patch_code,4,1,0,47,27309,581.0425531914893
108,T3,6,bug_total,0,1,1,157,119494,761.108280254777
108,T3,6,bug_priority,1,1,1,2,1261,630.5
108,T3,6,bug_author,2,1,1,18,27189,1510.5
108,T3,6,bug_summary,3,1,1,39,29695,761.4102564102565
108,T3,6,bug_patch_code,4,1,1,77,50281,653.0
108,T4,19,bug_total,0,1,1,298,175963,590.4798657718121
108,T4,19,bug_priority,1,1,1,0,0,NA
108,T4,19,bug_author,2,1,1,13,7611,585.4615384615385
108,T4,19,bug_summary,3,1,1,42,25985,618.6904761904761
108,T4,19,bug_patch_code,4,1,1,228,130339,571.6622807017544
108,T5,11,bug_total,0,0,0,142,85179,599.8521126760563
108,T5,11,bug_priority,1,0,0,2,633,316.5
108,T5,11,bug_author,2,0,0,15,8367,557.8
108,T5,11,bug_summary,3,0,0,30,20213,673.7666666666667
108,T5,11,bug_patch_code,4,0,0,43,23917,556.2093023255813
108,T6,16,bug_total,0,1,1,188,126770,674.3085106382979
108,T6,16,bug_priority,1,1,1,2,1315,657.5
108,T6,16,bug_author,2,1,1,20,7028,351.4
108,T6,16,bug_summary,3,1,1,8,4643,580.375
108,T6,16,bug_patch_code,4,1,1,131,94225,719.2748091603054
