PID,Task,bug_number,AOI,AOI_No,Accuracy_0_1,Accept_Y_N,FxCount,FxRate,TotalFixationTime,AvgFixationDuration,FirstFixation
102,T4,23,RelevantCodeClass,A2,0,0,0,0.0,0,NA,NA
102,T4,23,RelevantCodeMethod,A3,0,0,0,0.0,0,NA,NA
102,T4,23,RelevantTestClass,A4,0,0,364,0.8584905660377359,229909,631.6181318681319,1.0
102,T4,23,RelevantTestMethod,A5,0,0,133,0.3136792452830189,94222,708.4360902255639,1.0
102,T4,23,Others,A6,0,0,0,0.0,0,NA,NA
102,T5,5,Total,A0,1,0,197,1.0,119733,607.7817258883249,NA
102,T5,5,BugReport,A1,1,0,43,0.2182741116751269,23168,538.7906976744187,96566.0
102,T5,5,RelevantCodeClass,A2,1,0,0,0.0,0,NA,NA
102,T5,5,RelevantCodeMethod,A3,1,0,0,0.0,0,NA,NA
102,T5,5,RelevantTestClass,A4,1,0,154,0.7817258883248731,96565,627.0454545454545,1.0
102,T5,5,RelevantTestMethod,A5,1,0,0,0.0,0,NA,NA
102,T5,5,Others,A6,1,0,0,0.0,0,NA,NA
102,T6,18,Total,A0,1,1,283,1.0,153986,544.1201413427561,NA
102,T6,18,BugReport,A1,1,1,137,0.4840989399293286,69650,508.3941605839416,1.0
102,T6,18,RelevantCodeClass,A2,1,1,0,0.0,0,NA,NA
102,T6,18,RelevantCodeMethod,A3,1,1,0,0.0,0,NA,NA
102,T6,18,RelevantTestClass,A4,1,1,140,0.4946996466431095,82662,590.4428571428572,30263.0
102,T6,18,RelevantTestMethod,A5,1,1,6,0.0212014134275618,3153,525.5,31737.0
102,T6,18,Others,A6,1,1,6,0.0212014134275618,1674,279.0,152313.0
103,T1,4,Total,A0,1,0,146,1.0,127650,874.3150684931506,NA
103,T1,4,BugReport,A1,1,0,98,0.6712328767123288,75062,765.9387755102041,1.0
103,T1,4,RelevantCodeClass,A2,1,0,48,0.3287671232876712,52588,1095.5833333333333,9619.0
103,T1,4,RelevantCodeMethod,A3,1,0,36,0.2465753424657534,42672,1185.3333333333333,9619.0
103,T1,4,RelevantTestClass,A4,1,0,0,0.0,0,NA,NA
103,T1,4,RelevantTestMethod,A5,1,0,0,0.0,0,NA,NA
103,T1,4,Others,A6,1,0,0,0.0,0,NA,NA
103,T2,8,Total,A0,1,0,326,1.0,265533,814.5184049079754,NA
103,T2,8,BugReport,A1,1,0,182,0.558282208588957,173787,954.8736263736264,1.0
103,T2,8,RelevantCodeClass,A2,1,0,124,0.3803680981595092,77066,621.5,13471.0
103,T2,8,RelevantCodeMethod,A3,1,0,111,0.3404907975460122,70651,636.4954954954954,13471.0
103,T2,8,RelevantTestClass,A4,1,0,20,0.0613496932515337,14680,734.0,16742.0
103,T2,8,RelevantTestMethod,A5,1,0,0,0.0,0,NA,NA
103,T2,8,Others,A6,1,0,0,0.0,0,NA,NA
103,T3,13,Total,A0,1,0,338,1.0,285506,844.6923076923077,NA
103,T3,13,BugReport,A1,1,0,170,0.5029585798816568,156788,922.2823529411764,1.0
103,T3,13,RelevantCodeClass,A2,1,0,155,0.4585798816568047,121229,782.1225806451613,29418.0
103,T3,13,RelevantCodeMethod,A3,1,0,33,0.0976331360946745,34150,1034.8484848484848,117949.0
103,T3,13,RelevantTestClass,A4,1,0,0,0.0,0,NA,NA
103,T3,13,RelevantTestMethod,A5,1,0,0,0.0,0,NA,NA
103,T3,13,Others,A6,1,0,13,0.0384615384615384,7489,576.0769230769231,6656.0
103,T4,22,Total,A0,0,0,276,1.0,214684,777.8405797101449,NA
103,T4,22,BugReport,A1,0,0,149,0.5398550724637681,126531,849.2013422818792,1.0
103,T4,22,RelevantCodeClass,A2,0,0,116,0.4202898550724637,83714,721.6724137931035,3336.0
103,T4,22,RelevantCodeMethod,A3,0,0,69,0.25,54607,791.4057971014493,3336.0
103,T4,22,RelevantTestClass,A4,0,0,11,0.0398550724637681,4439,403.54545454545456,23597.0
103,T4,22,RelevantTestMethod,A5,0,0,0,0.0,0,NA,NA
103,T4,22,Others,A6,0,0,0,0.0,0,NA,NA
103,T5,17,Total,A0,1,0,264,1.0,251391,952.2386363636364,NA
103,T5,17,BugReport,A1,1,0,177,0.6704545454545454,189421,1070.1751412429378,1.0
103,T5,17,RelevantCodeClass,A2,1,0,66,0.25,56746,859.7878787878788,16619.0
103,T5,17,RelevantCodeMethod,A3,1,0,29,0.1098484848484848,25709,886.5172413793103,83016.0
103,T5,17,RelevantTestClass,A4,1,0,21,0.0795454545454545,5224,248.7619047619048,16852.0
103,T5,17,RelevantTestMethod,A5,1,0,0,0.0,0,NA,NA
103,T5,17,Others,A6,1,0,0,0.0,0,NA,NA
103,T6,12,Total,A0,0,0,155,1.0,97394,628.3483870967742,NA
103,T6,12,BugReport,A1,0,0,124,0.8,84568,682.0,1.0
103,T6,12,RelevantCodeClass,A2,0,0,17,0.1096774193548387,9146,538.0,5539.0
103,T6,12,RelevantCodeMethod,A3,0,0,11,0.0709677419354838,7699,699.9090909090909,5539.0
