PID,Task,bug_number,AOI,AOI_No,Accuracy_0_1,Accept_Y_N,FxCount,FxRate,TotalFixationTime,AvgFixationDuration,FirstFixation
136,T1,5,Total,A0,1,1,638,1,411044,644.269592476489,NA
136,T1,5,BugReport,A1,1,1,365,0.5721003134796239,198746,544.5095890410959,5890
136,T1,5,RelevantCodeClass,A2,1,1,195,0.3056426332288401,115293,591.2461538461539,1
136,T1,5,RelevantCodeMethod,A3,1,1,174,0.2727272727272727,100627,578.316091954023,1
136,T1,5,RelevantTestClass,A4,1,1,78,0.12225705329153605,97005,1243.6538461538462,122793
136,T1,5,RelevantTestMethod,A5,1,1,0,0.0,0,NA,NA
136,T1,5,Others,A6,1,1,0,0.0,0,NA,NA
136,T2,13,Total,A0,1,0,620,1,385509,621.7887096774193,NA
136,T2,13,BugReport,A1,1,0,264,0.4258064516129032,122371,463.5265151515151,1
136,T2,13,RelevantCodeClass,A2,1,0,280,0.45161290322580644,185217,661.4892857142858,19163
136,T2,13,RelevantCodeMethod,A3,1,0,90,0.14516129032258066,62804,697.8222222222222,57567
136,T2,13,RelevantTestClass,A4,1,0,76,0.12258064516129032,77921,1025.2763157894738,60755
136,T2,13,RelevantTestMethod,A5,1,0,0,0.0,0,NA,NA
136,T2,13,Others,A6,1,0,0,0.0,0,NA,NA
136,T3,22,Total,A0,0,0,731,1,515353,704.9972640218879,NA
136,T3,22,BugReport,A1,0,0,382,0.5225718194254446,221529,579.9188481675393,1
136,T3,22,RelevantCodeClass,A2,0,0,319,0.4363885088919289,183672,575.7742946708464,17783
136,T3,22,RelevantCodeMethod,A3,0,0,204,0.27906976744186046,119731,586.9166666666666,29618
136,T3,22,RelevantTestClass,A4,0,0,30,0.04103967168262654,110152,3671.733333333333,59031
136,T3,22,RelevantTestMethod,A5,0,0,0,0.0,0,NA,NA
136,T3,22,Others,A6,0,0,0,0.0,0,NA,NA
136,T4,12,Total,A0,0,1,509,1,283795,557.5540275049116,NA
136,T4,12,BugReport,A1,0,1,229,0.449901768172888,103198,450.646288209607,58557
136,T4,12,RelevantCodeClass,A2,0,1,211,0.41453831041257366,135034,639.9715639810427,1
136,T4,12,RelevantCodeMethod,A3,0,1,199,0.39096267190569745,124485,625.5527638190955,1
136,T4,12,RelevantTestClass,A4,0,1,69,0.13555992141453832,45563,660.3333333333334,17714
136,T4,12,RelevantTestMethod,A5,0,1,3,0.005893909626719057,1666,555.3333333333334,43639
136,T4,12,Others,A6,0,1,0,0.0,0,NA,NA
136,T5,20,Total,A0,1,0,617,1,352304,570.9951377633712,NA
136,T5,20,BugReport,A1,1,0,257,0.4165316045380875,125634,488.84824902723733,1
136,T5,20,RelevantCodeClass,A2,1,0,328,0.5316045380875203,214637,654.3810975609756,11995
136,T5,20,RelevantCodeMethod,A3,1,0,103,0.16693679092382496,58163,564.6893203883495,43868
136,T5,20,RelevantTestClass,A4,1,0,32,0.05186385737439222,12033,376.03125,49250
136,T5,20,RelevantTestMethod,A5,1,0,8,0.012965964343598054,5769,721.125,89478
136,T5,20,Others,A6,1,0,0,0.0,0,NA,NA
136,T6,3,Total,A0,1,0,573,1,378580,660.6980802792322,NA
136,T6,3,BugReport,A1,1,0,130,0.2268760907504363,63030,484.84615384615387,23002
136,T6,3,RelevantCodeClass,A2,1,0,398,0.6945898778359512,224168,563.2361809045226,1
136,T6,3,RelevantCodeMethod,A3,1,0,271,0.47294938917975565,146634,541.0848708487085,1
136,T6,3,RelevantTestClass,A4,1,0,45,0.07853403141361257,91382,2030.7111111111112,52285
136,T6,3,RelevantTestMethod,A5,1,0,0,0.0,0,NA,NA
136,T6,3,Others,A6,1,0,0,0.0,0,NA,NA
