PID,Task,bug_number,AOI,AOI_No,Accuracy_0_1,Accept_Y_N,FxCount,FxRate,TotalFixationTime,AvgFixationDuration,FirstFixation
115,T1,15,Total,A0,1,1,748,1,480374,642.2112299465241,NA
115,T1,15,BugReport,A1,1,1,375,0.5013368983957219,253948,677.1946666666666,1
115,T1,15,RelevantCodeClass,A2,1,1,343,0.4585561497326203,213886,623.5743440233236,3219
115,T1,15,RelevantCodeMethod,A3,1,1,178,0.23796791443850268,113993,640.4101123595506,11924
115,T1,15,RelevantTestClass,A4,1,1,30,0.040106951871657755,12540,418.0,183591
115,T1,15,RelevantTestMethod,A5,1,1,1,0.001336898395721925,158,158.0,184061
115,T1,15,Others,A6,1,1,0,0.0,0,NA,NA
115,T2,10,Total,A0,0,0,409,1,241823,591.2542787286063,NA
115,T2,10,BugReport,A1,0,0,98,0.2396088019559902,47131,480.92857142857144,165714
115,T2,10,RelevantCodeClass,A2,0,0,291,0.7114914425427873,187747,645.1786941580756,1860
115,T2,10,RelevantCodeMethod,A3,0,0,189,0.4621026894865526,132279,699.8888888888889,1860
115,T2,10,RelevantTestClass,A4,0,0,20,0.0488997555012225,6945,347.25,1
115,T2,10,RelevantTestMethod,A5,0,0,0,0.0,0,NA,NA
115,T2,10,Others,A6,0,0,0,0.0,0,NA,NA
115,T3,1,Total,A0,1,1,334,1,258539,774.0688622754491,NA
115,T3,1,BugReport,A1,1,1,61,0.18263473053892215,70049,1148.344262295082,126175
115,T3,1,RelevantCodeClass,A2,1,1,256,0.7664670658682635,177480,693.28125,1
115,T3,1,RelevantCodeMethod,A3,1,1,88,0.2634730538922156,69190,786.25,851
115,T3,1,RelevantTestClass,A4,1,1,17,0.05089820359281437,11010,647.6470588235294,187677
115,T3,1,RelevantTestMethod,A5,1,1,0,0.0,0,NA,NA
115,T3,1,Others,A6,1,1,0,0.0,0,NA,NA
115,T4,7,Total,A0,1,1,486,1,359096,738.880658436214,NA
115,T4,7,BugReport,A1,1,1,200,0.411522633744856,148874,744.37,103567
115,T4,7,RelevantCodeClass,A2,1,1,281,0.5781893004115226,206736,735.7153024911032,1
115,T4,7,RelevantCodeMethod,A3,1,1,130,0.2674897119341564,99560,765.8461538461538,166216
115,T4,7,RelevantTestClass,A4,1,1,5,0.0102880658436214,3486,697.2,204414
115,T4,7,RelevantTestMethod,A5,1,1,0,0.0,0,NA,NA
115,T4,7,Others,A6,1,1,0,0.0,0,NA,NA
115,T5,21,Total,A0,0,0,393,1,275009,699.7684478371501,NA
115,T5,21,BugReport,A1,0,0,230,0.5852417302798982,175786,764.2869565217392,3266
115,T5,21,RelevantCodeClass,A2,0,0,154,0.39185750636132316,96480,626.4935064935065,1
115,T5,21,RelevantCodeMethod,A3,0,0,94,0.23918575063613232,61965,659.2021276595744,8182
115,T5,21,RelevantTestClass,A4,0,0,9,0.022900763358778626,2743,304.77777777777777,75772
115,T5,21,RelevantTestMethod,A5,0,0,0,0.0,0,NA,NA
115,T5,21,Others,A6,0,0,0,0.0,0,NA,NA
115,T6,18,Total,A0,1,1,409,1,317996,777.4963325183375,NA
115,T6,18,BugReport,A1,1,1,149,0.3643031784841076,102398,687.2348993288591,1
115,T6,18,RelevantCodeClass,A2,1,1,253,0.6185819070904646,213545,844.0513833992095,458
115,T6,18,RelevantCodeMethod,A3,1,1,102,0.24938875305623473,66758,654.4901960784314,100696
115,T6,18,RelevantTestClass,A4,1,1,7,0.017114914425427872,2053,293.2857142857143,18542
115,T6,18,RelevantTestMethod,A5,1,1,0,0.0,0,NA,NA
115,T6,18,Others,A6,1,1,0,0.0,0,NA,NA
