fixation_id,fixation_run_id,fixation_start_event_time,fixation_order_number,x,y,fixation_target,source_file_line,source_file_col,token,syntactic_category,xpath,left_pupil_diameter,right_pupil_diameter,duration
dc40516b-ad19-4b37-9393-01049720b02a,1684428502285,133270761675161453,1,358.714,216.464,Bug-7.txt,34,4,,,,2.64687,2.65272,227
bacd4c9c-bf7f-45c5-ab2a-7e99c6f28d76,1684428502285,133270761670431289,2,857.167,244.333,Bug-7.txt,35,76,,,,2.61259,2.58884,108
18d4deba-57db-4aa7-a14b-be1d29872a75,1684428502285,133270761665765134,3,703,210.143,Bug-7.txt,33,52,,,,2.59915,2.57612,217
8b573ea5-a0d2-41fa-9fbe-bb5a92d81d4b,1684428502285,133270761663013900,4,610.182,205,Bug-7.txt,33,40,,,,2.62405,2.61457,208
8d9bd840-3ff3-4d59-89e5-282bc21605d8,1684428502285,133270761656015463,5,409.71,239.032,Bug-7.txt,34,12,,,,2.78196,2.85637,255
1711d251-640c-4f04-b278-92be375b9b8b,1684428502285,133270761651426963,6,444.5,132.667,Bug-7.txt,28,17,,,,2.74613,2.86348,233
e8d500a0-a4da-4cea-b725-c81b4572f602,1684428502285,133270761649514709,7,502.2,134.2,Bug-7.txt,28,23,,,,2.7113,2.85664,175
be51bd3a-4f22-4d69-bee3-d26189a4187b,1684428502285,133270761643596814,8,638.677,214.258,Bug-7.txt,33,42,,,,2.74908,2.87906,342
e53f437a-08dd-45e4-b464-5290d5097a40,1684428502285,133270761636598381,9,358.75,177.75,Bug-7.txt,29,2,,,,2.72501,2.79294,225
f0d42f79-6d45-4b4e-a228-d5c158a7c613,1684428502285,133270761633181661,10,478.222,204.889,Bug-7.txt,33,21,,,,2.60565,2.65514,150
10c7bf8a-aefd-42cb-ae52-d45d32ead57e,1684428502285,133270761625182705,11,408.962,567.942,Bug-7.txt,56,12,,,,2.53055,2.65567,734
78fca207-6982-4579-a08b-795c1e3ba505,1684428502285,133270761613934213,12,435.457,314.326,XYSeriesTest.java,524,12,,,,2.55328,2.65589,398
ccf0ee36-8df5-4951-b4b5-4d531b69c6a9,1684428502285,133270761610599395,13,496.718,342.897,XYSeriesTest.java,526,23,,,,2.60625,2.70724,315
5d7df0c5-4d55-4c0e-99e3-57f56ee59256,1684428502285,133270761606681895,14,549.533,345.844,XYSeriesTest.java,525,28,,,,2.57813,2.63956,366
b1a20f93-b82b-493a-a828-1c486b143a7c,1684428502285,133270761604098600,15,469.233,334.533,XYSeriesTest.java,526,17,,,,2.56544,2.6614,242
753c47af-2bb9-479a-8fad-fb41b40ca735,1684428502285,133270761601766089,16,465.889,460,XYSeriesTest.java,533,17,,,,2.67901,2.82701,200
422a236a-6c5a-44c1-abdf-44e0f9d56b8c,1684428502285,133270761589514959,17,453.889,167.333,XYSeriesTest.java,514,16,,,,2.62631,2.74023,142
c9edf0b1-8d2e-40cf-9fab-f7cd6a3ceeb4,1684428502285,133270761568015645,18,451.308,343.788,XYSeriesTest.java,526,17,,,,2.55543,2.63981,525
c2a95995-9071-455f-8b17-ba9424be5ecb,1684428502285,133270761556432400,19,420.95,268.75,XYSeriesTest.java,520,12,,,,2.70356,2.80762,508
2087a203-b95f-4695-a832-3af8d8154b69,1684428502285,133270761533095937,20,380.747,249.81,XYSeriesTest.java,520,7,,,,2.5505,2.67222,1010
e7dcf14d-06b5-4e28-947c-978bb05c46ab,1684428502285,133270761510767769,21,711.333,298.667,XYSeries.java,786,51,,,,2.63979,2.77053,123
fa663dea-2adf-489e-bcbd-b7a9bfdaed0f,1684428502285,133270761504517837,22,407.702,242.319,XYSeries.java,782,8,,,,2.65904,2.77969,591
c5353958-a8d3-4e24-bbfe-519faedb4bb6,1684428502285,133270761450352518,23,493.727,452.045,XYSeries.java,795,12,,,,2.53156,2.60755,175
e675636f-1cca-422c-b99f-35fb728f996a,1684428502285,133270761429842629,24,398.694,457.444,XYSeries.java,796,2,,,,2.54739,2.66085,2034
9a996fb6-04eb-431c-b0b6-6006869759d7,1684428502285,133270761417681998,25,401.045,446.371,XYSeries.java,796,2,,,,2.63042,2.70763,1201
739180d1-873f-4b90-85bd-a751229070ad,1684428502285,133270761403597532,26,401.388,449.672,XYSeries.java,796,2,,,,2.50766,2.58391,1008
4b6e8e6d-afdb-40ae-bbb5-69e6d7c87458,1684428502285,133270761398851298,27,520.421,453.237,XYSeries.java,796,17,,,,2.62089,2.63755,459
8d869899-fced-4313-91ef-f739d1ea7146,1684428502285,133270761391602804,28,612,448.25,XYSeries.java,796,31,,,,2.45699,2.49162,150
113fb082-b311-4437-8e4b-c132b14f17f8,1684428502285,133270761390102852,29,544,448.5,XYSeries.java,796,20,,,,2.50531,2.5103,133
e3bea07f-5a51-45e1-9b58-4f4c2d4509e1,1684428502285,133270761385435405,30,431.667,430.933,XYSeries.java,795,10,,,,2.45002,2.53215,375
76c025ba-b09e-4c74-96b3-5a07b924dae1,1684428502285,133270761379268057,31,692.417,426.833,XYSeries.java,796,43,,,,2.42491,2.50717,316
f18b7b75-a4e9-46f9-86ea-9631aa2edbce,1684428502285,133270761375763322,32,691.857,440,XYSeries.java,796,43,,,,2.47856,2.52705,284
0e30c97f-cedf-4e37-9b89-7be339c2a579,1684428502285,133270761358686202,33,470.56,442.012,XYSeries.java,795,11,,,,2.5575,2.63224,1659
e3bd5d59-d334-43bd-b334-4a81e806e554,1684428502285,133270761354686427,34,418.421,423.158,XYSeries.java,795,9,,,,2.58373,2.69035,283
69acba2a-bc29-4888-b135-150c28792559,1684428502285,133270761350936437,35,443.4,354.45,XYSeries.java,791,13,,,,2.65722,2.72044,341
7a59d29f-256a-4f30-a98e-7525da1de392,1684428502285,133270761348020855,36,428.304,232.739,XYSeries.java,782,10,,,,2.70666,2.79247,267
4761e8e6-6509-4605-9e90-df86c5f8b4b1,1684428502285,133270761331251981,37,440.514,601.829,Bug-7.txt,59,15,,,,2.67531,2.80091,793
92860e25-8723-4c73-b5fa-44f1b8578ea0,1684428502285,133270761324269702,38,563.586,607.138,Bug-7.txt,60,31,,,,2.55502,2.66479,274
4015bb72-d35a-4dd3-a952-5ec7f24072c9,1684428502285,133270761322014996,39,483.208,602.792,Bug-7.txt,59,22,,,,2.54814,2.6569,208
ea0b2cd8-4ff8-4220-b719-5a75f114c956,1684428502285,133270761317686633,40,338.667,600,Bug-7.txt,60,1,,,,2.4849,2.63307,408
12c92c3f-69b5-44be-91e1-c373f7343513,1684428502285,133270761306019526,41,422.143,608.126,Bug-7.txt,60,16,,,,2.6399,2.79482,1084
c6895277-d541-4663-8f13-2f80c124ba3c,1684428502285,133270761304353021,42,399.7,590.3,Bug-7.txt,59,10,,,,2.67157,2.8068,150
0c2a3455-daec-4cb2-bb3f-4a7f4eef965f,1684428502285,133270761298354716,43,368.226,526.645,Bug-7.txt,55,3,,,,2.6932,2.80846,559
b5e21bc9-3fb3-4f9c-8f9b-15187600ee22,1684428502285,133270761296271279,44,539.438,384.5,Bug-7.txt,45,30,,,,2.82353,2.86584,166
36fbc137-63a5-4dc1-99f5-13072e632034,1684428502285,133270761289854655,45,429.588,335.118,XYSeries.java,788,12,,,,2.72645,2.8412,133
0b810f75-db05-4f8b-80de-e15d014bfc59,1684428502285,133270761265021308,46,451.182,332,XYSeries.java,788,14,,,,2.61425,2.6503,723
4c3c4a9c-b86c-49a6-985e-ca2bc87b1a92,1684428502285,133270761245683565,47,389.122,368.612,XYSeries.java,791,5,,,,2.56342,2.62225,416
651f08a3-b2a8-4d0f-8987-08f90c41336c,1684428502285,133270761183357202,48,405.793,333.154,XYSeries.java,786,5,,,,2.64892,2.70368,6040
c3a2764d-86cf-40c8-84a7-b4c8d297190e,1684428502285,133270761168005270,49,378.71,276.862,XYSeries.java,784,2,,,,2.76474,2.83052,1517
f6c18cfb-da27-469d-a04e-c8346fa03d61,1684428502285,133270761166190274,50,444.25,275.75,XYSeries.java,784,12,,,,2.67596,2.80274,83
9a4df5a9-8093-4066-8a6e-dac22316dcce,1684428502285,133270761154171861,51,405.208,277.847,XYSeries.java,784,8,,,,2.56092,2.62826,767
b228f9c9-2643-49e5-be4f-26ecdadaafc2,1684428502285,133270761151605362,52,422.158,335.737,XYSeries.java,789,9,,,,2.78621,2.8086,224
